#{"t_start": 1773812897.832136, "env_id": "None"}
r,l,t
-82.15,65,0.431737
-183.6,56,0.503286
153.75,3,0.50859
9.1,30,0.545828
-76.4,20,0.573795
-155.55,57,0.64329
-193.9,70,0.729174
-130.6,56,0.798129
-134.0,68,0.877526
-69.55,17,0.90015
-51.4,20,0.925123
-49.4,16,0.945867
-172.75,65,1.026615
-143.95,69,1.11101
-95.35,49,1.172366
-213.9,70,1.25933
-75.8,52,1.324873
-168.6,56,1.393503
-133.95,49,1.453518
-149.0,56,1.524536
-200.8,52,1.58648
-60.85,51,1.651349
-170.15,49,1.715037
-141.55,57,1.783326
-93.75,65,1.862484
-129.25,43,1.915295
-117.9,50,1.974807
-222.85,71,2.062392
-129.8,52,2.127885
-114.95,49,2.190321
-196.95,69,2.274739
-182.55,65,2.357355
-118.25,58,2.434933
-206.95,69,2.523564
-169.3,70,2.61157
-115.8,52,2.675844
-195.9,70,2.762368
-104.65,55,2.828736
-154.4,68,3.248597
-69.05,57,3.325051
-36.25,51,3.39241
-134.9,70,3.477436
-136.55,57,3.549155
-57.8,52,3.615668
-81.9,50,3.677768
-190.95,69,3.7675
-99.55,77,3.858377
-96.65,55,3.926155
-91.5,58,4.012857
-58.95,69,4.11713
-153.35,61,4.284829
-45.05,55,4.384593
-191.9,70,4.482949
-81.95,69,4.574399
-91.65,55,4.642775
-84.8,52,4.709023
-73.75,43,4.765058
-156.7,62,4.836567
-83.1,26,4.869388
-97.5,38,4.968438
-129.7,77,5.108515
-142.3,70,5.212578
-139.95,57,5.295888
-82.95,37,5.342194
-126.35,69,5.428885
-128.95,69,5.51586
-110.25,43,5.570535
-123.3,70,5.656353
-64.8,52,5.731417
-131.9,50,5.79976
-134.3,62,5.884277
-147.65,55,5.959721
-88.1,26,5.997095
-150.25,43,6.051561
-87.4,68,6.467754
-20.55,37,6.514343
-89.55,57,6.588787
-129.45,77,6.687838
-45.4,50,6.750681
-97.85,51,6.813092
-70.4,68,6.897543
55.6,55,6.969111
-81.95,69,7.053781
-151.15,65,7.132801
-41.8,52,7.200088
-153.9,70,7.288259
-116.9,50,7.350177
-103.0,56,7.424185
-13.55,62,7.50424
-42.0,56,7.577884
-79.3,52,7.641491
-97.8,52,7.706615
-49.25,63,7.785639
-93.25,58,7.855811
-138.7,69,7.940062
-95.6,56,8.01209
-147.0,68,8.092329
-49.55,57,8.1633
-111.6,56,8.232294
-86.55,57,8.298992
-108.65,55,8.365719
9.65,51,8.430596
-66.8,55,8.496406
-126.5,58,8.569972
-143.65,51,8.63543
-76.4,20,8.664224
-55.15,65,8.766488
-153.35,61,8.848984
-131.7,54,8.919791
-88.65,43,8.973582
-62.6,56,9.047525
-57.35,57,9.471674
-89.0,68,9.557902
-29.4,50,9.630002
-102.45,64,9.712382
-90.85,51,9.774885
-83.85,71,9.861727
-92.9,55,9.931489
-96.1,52,9.998725
-74.25,51,10.063439
-30.75,61,10.14012
-105.6,51,10.205012
-81.05,62,10.283879
-104.7,62,10.364116
-83.9,55,10.437857
-81.3,70,10.52868
-114.0,56,10.598639
-89.6,51,10.66338
-111.5,58,10.738317
-98.85,51,10.798502
-54.3,62,10.874536
24.35,15,10.893814
-92.6,51,10.954611
-109.95,49,11.017051
-67.95,64,11.099645
-71.9,70,11.18909
-95.95,49,11.252009
-75.05,43,11.306127
-67.6,56,11.377487
-116.4,70,11.464533
-59.65,55,11.531584
-167.15,69,11.618447
-118.9,70,11.704464
-137.75,69,11.788486
-92.7,50,11.848692
-121.9,70,11.932719
-35.9,70,12.346875
-63.55,52,12.412101
-93.75,49,12.470255
14.7,30,12.506746
-36.15,20,12.535367
-37.3,55,12.607774
-21.4,55,12.677899
-72.4,69,12.765365
-75.95,49,12.828827
-56.0,58,12.900975
-115.7,49,12.964055
-76.3,70,13.053578
-115.7,52,13.118495
-13.1,59,13.199282
-47.6,26,13.23828
-82.35,56,13.308174
-70.85,56,13.381583
-35.9,51,13.447217
-105.65,43,13.49908
-51.25,51,13.5626
-34.3,62,13.640113
-73.65,55,13.712216
-66.6,56,13.781165
-63.8,52,13.84361
-40.4,43,13.896695
-100.15,65,13.974519
-71.15,65,14.056188
-99.35,69,14.144182
27.5,53,14.212684
-71.65,70,14.301985
-67.75,52,14.364514
-93.95,57,14.438134
-83.35,71,14.5256
-51.85,57,14.596674
-88.3,70,15.885009
-50.6,56,15.943315
33.95,15,15.959224
47.4,69,16.032689
-91.5,70,16.401782
-80.1,69,16.492834
-47.1,69,16.582806
-87.3,70,16.673371
-107.05,68,16.757122
-78.05,70,16.846411
1.1,70,16.934172
-6.6,51,16.998512
-62.15,56,17.072813
-59.55,65,17.156724
-81.45,69,17.244471
-82.4,68,17.331541
-24.9,55,17.40393
-77.85,61,17.481823
8.3,22,17.510979
25.45,65,17.590097
-48.2,52,17.658377
-83.4,70,17.83688
-21.35,49,17.905285
-12.55,56,17.974351
-85.2,55,18.04541
2.95,68,18.130086
-10.55,65,18.212142
-49.55,57,18.287946
18.95,15,18.306818
-17.25,69,18.394037
-43.55,55,18.465426
-61.9,70,18.549758
-10.6,37,18.59784
0.95,51,18.661533
-22.55,51,18.727581
-112.3,70,18.815642
-49.8,57,18.886765
-21.65,69,18.966158
-61.15,56,19.037374
-67.05,55,19.443646
-10.65,15,19.463157
-25.85,43,19.517726
6.25,55,19.588872
-54.35,49,19.65372
-61.7,57,19.72623
-60.25,51,19.790183
-32.95,52,19.856234
28.65,37,19.901991
-20.9,51,19.965163
-62.55,50,20.024895
27.8,57,20.091153
-33.45,69,20.171054
-3.65,70,20.253518
18.75,57,20.319899
-74.6,52,20.37675
-62.8,71,20.456469
-33.4,56,20.516179
31.8,65,20.586444
-33.85,70,20.661008
-20.65,69,20.730653
-31.65,43,20.774046
-57.7,70,20.843034
-49.4,65,20.908522
-43.25,56,20.964412
-12.05,51,21.019418
-31.75,65,21.094139
-23.85,57,21.155166
-28.35,49,21.208104
-14.05,62,21.274422
-27.35,65,21.348286
8.9,71,21.425361
-66.1,52,21.478941
-32.05,50,21.532384
-26.7,59,21.596769
3.3,50,21.652336
-47.85,26,21.683482
-13.95,70,22.046338
-24.05,52,22.104878
-26.9,50,22.164075
-20.6,49,22.217025
-27.9,61,22.288468
-15.45,49,22.341102
-39.85,62,22.409643
2.45,39,22.451811
-34.8,55,22.515814
-12.75,55,22.573554
-68.7,70,22.646814
-26.1,51,22.703803
-21.2,51,22.755759
12.75,57,22.815256
-47.75,57,22.874121
-16.05,55,22.933875
0.75,69,23.0064
21.35,51,23.059339
-49.0,16,23.077188
-24.55,77,23.1621
-24.05,56,23.221903
-40.6,62,23.288389
-20.4,71,23.365446
-24.2,56,23.425121
-28.6,57,23.489533
-67.75,77,23.571024
-29.45,71,23.647415
-39.9,20,23.668782
-23.7,55,23.726262
-44.7,69,23.797472
-25.1,43,23.840305
33.5,50,23.8913
-20.8,20,23.91318
-20.5,69,23.983625
63.25,65,24.048671
-3.95,49,24.102827
-49.3,65,24.170487
36.55,69,24.628088
27.85,30,24.665693
-14.7,55,24.737421
-57.05,55,24.803687
-14.85,55,24.869341
22.9,50,24.931118
-0.3,39,24.979721
-17.95,50,25.045116
-7.35,63,25.128304
-32.65,52,25.193841
-19.9,38,25.246005
20.1,70,25.336947
10.0,59,25.410793
-5.7,56,25.480907
-25.3,50,25.545845
-10.65,27,25.58059
-43.55,52,25.643377
-22.9,57,25.712098
5.55,63,25.814161
94.8,65,25.989393
-25.6,50,26.076973
-29.2,49,26.136853
42.1,39,26.187775
28.0,53,26.257735
-31.3,52,26.324126
-34.2,55,26.394822
-13.85,51,26.459935
-9.05,3,26.464863
-9.95,77,26.562119
-0.35,49,26.622584
-21.7,69,26.707506
38.25,61,26.78281
-34.5,38,26.828936
-19.95,54,26.895628
21.7,62,26.968974
-4.3,65,27.04842
2.25,55,27.119797
-11.25,70,27.210749
-21.6,55,27.279773
15.8,17,27.631511
13.75,70,27.723121
-12.4,43,27.777087
-46.9,50,27.838306
-1.65,70,27.925282
37.35,51,27.98571
12.8,77,28.072214
-25.95,56,28.137396
5.6,69,28.213181
1.5,70,28.291929
-7.95,50,28.346138
-21.75,56,28.406836
8.65,57,28.469175
-6.05,15,28.486142
-10.05,63,28.553519
2.95,65,28.626611
5.7,56,28.690705
-23.1,50,28.745609
-28.6,49,28.796329
-14.05,3,28.800139
-35.15,77,28.879079
-6.35,77,28.961989
-22.9,70,29.034532
4.75,65,29.110536
-55.35,70,29.183583
4.25,70,29.2597
17.35,22,29.284922
-13.6,16,29.302989
-3.3,56,29.359046
-25.15,70,30.646969
-25.4,56,30.709978
-23.4,55,30.76639
0.7,69,30.837247
40.0,69,30.906554
-2.65,49,30.955724
5.45,50,31.007029
-35.15,49,31.057742
-39.7,52,31.402225
12.95,51,31.45849
-25.5,52,31.516442
19.35,69,31.590393
12.55,51,31.650554
-6.5,37,31.691401
-4.4,55,31.752378
7.55,51,31.80531
58.2,65,31.872577
-1.15,50,31.92457
10.0,63,31.989348
43.9,65,32.059214
-23.75,77,32.146318
-4.5,52,32.199898
1.3,70,32.273536
22.8,59,32.337404
28.2,57,32.398951
-18.45,27,32.428327
6.0,70,32.503612
24.7,49,32.554977
-28.5,61,32.619389
37.55,69,32.692081
33.8,69,32.763654
47.4,69,32.83192
48.45,69,32.903187
-21.75,57,32.962486
15.3,50,33.014616
-8.65,56,33.075308
-7.45,70,33.148448
-6.85,51,33.202949
27.0,71,33.277861
-7.3,51,33.333031
3.25,55,33.394449
-0.6,68,33.470221
49.4,30,33.506569
-17.45,27,33.534979
44.8,55,33.880522
19.75,49,33.935236
29.5,62,33.999784
25.55,65,34.07268
